Ecart a la route,Cap,Profondeur,Latitude,Longitude,Angle de gite,Angle de tangage,Vitesse bateau,VMG,Hauteur de vol,Vrillage angle 1,Vrillage angle 2,Cambrure aile,Angle au vent reel,Angle au vent apparent,Vitesse du vent,Beaufort,Pression atmospherique,Vitesse courant,Temperature,Latitute bouee 1,Longitude bouee 1,Latitute bouee 2,Longitude bouee 2,Latitute bouee 3,Longitude bouee 3,Latitute bouee 4,Longitute bouee 4,Temps bouee 1,Temps bouee 2,Temps bouee 3,Temps bouee 4
0,0,10,-90,-180,0,0,0,0,0,-45,-45,0,0,0,0,1,990,0,0,-90,-180,-90,-180,-90,-180,-90,-180,0,0,0,0
360,360,100,90,180,90,90,30,30,100,45,45,25,360,360,90,12,1025,1,40,90,180,90,180,90,180,90,180,200,200,200,200
150,37,100,-64,-2,10,46,13,18,76,-19,21,0,17,329,43,3,1021,1,25,-44,148,73,-170,84,-167,23,-47,130,174,40,139
87,172,58,51,-138,54,10,18,11,85,18,7,0,77,84,83,8,1013,0,21,54,-116,29,25,-37,21,-43,103,68,139,47,97
270,82,60,-36,-34,35,37,1,20,93,18,-30,20,271,302,31,2,1022,0,6,83,-93,33,180,-5,-39,6,63,26,47,57,65
335,331,93,51,145,37,55,19,27,23,-15,-29,21,87,118,20,8,1015,1,25,-36,-43,79,-177,82,-110,89,-145,60,124,52,179
356,64,44,-34,-137,56,18,0,6,8,45,12,17,96,304,73,1,1003,1,7,3,-59,-31,-62,15,97,26,91,106,53,34,99
137,261,97,-67,54,43,39,3,11,99,4,6,7,186,223,75,1,1023,0,39,-87,-160,80,-80,-32,136,-44,50,52,48,24,131
48,161,72,11,-91,46,7,14,12,43,0,-5,7,123,222,27,5,1006,0,18,88,67,56,115,76,112,31,-158,95,141,161,60
68,186,54,-28,-108,3,25,23,4,5,-23,26,22,305,94,56,10,1017,1,31,90,146,-19,141,-2,141,62,135,44,128,111,15
168,81,94,-37,-27,76,65,10,11,9,28,-44,6,45,177,70,10,1014,0,22,-89,-146,-58,167,78,-101,79,-113,177,97,19,3
156,187,84,-55,153,9,36,18,3,77,-12,-25,16,355,20,48,2,1018,0,11,53,-32,-65,-14,-46,35,-48,-143,4,35,71,120
